,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ML_method,Feature_set,Size,Accuracy,FPS,Precision,Recall,IoU,F1_Score
0,0,0,0,rforest,5,256x256,0.988,86083.723,0.988,0.988,0.977,0.988
1,1,1,1,dtrees,4,256x256,0.988,9002163.261,0.988,0.988,0.975,0.988
2,2,2,2,naive,1,256x256,0.528,6002127.583,0.528,0.528,0.359,0.528
3,3,3,3,rforest,3,256x256,0.461,58234.341,0.461,0.461,0.299,0.461
4,4,4,4,logistic,5,256x256,0.837,10435788.149,0.837,0.837,0.72,0.837
5,5,5,5,naive,2,256x256,0.528,3402475.017,0.528,0.528,0.359,0.528
6,6,6,6,knn,0,256x256,0.459,47328.519,0.459,0.459,0.298,0.459
7,7,7,7,knn,4,256x256,0.898,45209.994,0.898,0.898,0.814,0.898
8,8,8,8,knn,3,256x256,0.462,46111.473,0.462,0.462,0.3,0.462
9,9,9,9,dtrees,1,256x256,0.382,4853585.992,0.382,0.382,0.236,0.382
10,10,10,10,rforest,4,256x256,0.989,91570.393,0.989,0.989,0.978,0.989
11,11,11,11,rforest,2,256x256,0.464,60098.561,0.464,0.464,0.302,0.464
12,12,12,12,svm,0,256x256,0.528,2729.719,0.528,0.528,0.359,0.528
13,13,13,13,dtrees,3,256x256,0.381,4973938.02,0.381,0.381,0.236,0.381
14,14,14,14,logistic,1,256x256,0.528,19138612.207,0.528,0.528,0.359,0.528
15,15,15,15,dtrees,2,256x256,0.377,5070882.779,0.377,0.377,0.232,0.377
16,16,16,16,logistic,3,256x256,0.528,22306718.642,0.528,0.528,0.359,0.528
17,17,17,17,logistic,2,256x256,0.528,18959101.414,0.528,0.528,0.359,0.528
18,18,18,18,svm,2,256x256,0.528,2468.811,0.528,0.528,0.359,0.528
19,19,19,19,dtrees,0,256x256,0.387,4865268.387,0.387,0.387,0.24,0.387
20,20,20,20,naive,3,256x256,0.528,6158264.486,0.528,0.528,0.359,0.528
21,21,21,21,logistic,0,256x256,0.528,23737411.527,0.528,0.528,0.359,0.528
22,22,22,22,knn,5,256x256,0.915,43620.823,0.915,0.915,0.844,0.915
23,23,23,23,naive,4,256x256,0.841,5610015.918,0.841,0.841,0.725,0.841
24,24,24,24,rforest,1,256x256,0.47,56281.476,0.47,0.47,0.307,0.47
25,25,25,25,rforest,0,256x256,0.434,53057.187,0.434,0.434,0.278,0.434
26,26,26,26,logistic,4,256x256,0.855,13237941.844,0.855,0.855,0.746,0.855
27,27,27,27,svm,4,256x256,0.861,6712.247,0.861,0.861,0.755,0.861
28,28,28,28,naive,5,256x256,0.837,4001418.389,0.837,0.837,0.72,0.837
29,29,29,29,dtrees,5,256x256,0.988,9513872.035,0.988,0.988,0.975,0.988
30,30,30,30,naive,0,256x256,0.528,5954524.034,0.528,0.528,0.359,0.528
31,31,31,31,knn,2,256x256,0.466,44479.395,0.466,0.466,0.304,0.466
32,32,32,32,knn,1,256x256,0.468,48293.944,0.468,0.468,0.305,0.468
33,33,33,33,svm,5,256x256,0.861,6126.979,0.861,0.861,0.755,0.861
34,34,34,34,svm,1,256x256,0.528,2690.322,0.528,0.528,0.359,0.528
35,35,35,35,svm,3,256x256,0.528,2701.033,0.528,0.528,0.359,0.528
